구분,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종,평균
2000년01월01일,1228.97,1212.2,1201.29,1225.15,1216.67,1198.04,1220.88,1219.34,1229.91,1206.75,1232.39,1217.68,1221.15,1218.63,1215.76,1240.13,NaN,1219.0587500000001
2000년01월02일,1228.97,1212.2,1201.29,1225.15,1216.67,1198.04,1220.88,1219.34,1229.91,1206.75,1232.39,1217.68,1221.15,1218.63,1215.76,1240.13,NaN,1219.0587500000001
2000년01월03일,1228.97,1212.2,1201.29,1225.15,1216.67,1198.04,1220.88,1219.34,1229.91,1206.75,1232.39,1217.68,1221.15,1218.63,1215.76,1240.13,NaN,1219.0587500000001
2000년01월04일,1228.97,1212.2,1201.29,1225.15,1216.67,1198.04,1220.88,1219.34,1229.91,1206.75,1232.39,1217.68,1221.15,1218.63,1215.76,1240.13,NaN,1219.0587500000001
2000년01월05일,1228.97,1212.2,1201.29,1225.15,1216.67,1198.04,1220.88,1219.34,1229.91,1206.75,1232.39,1217.68,1221.15,1218.63,1215.76,1240.13,NaN,1219.0587500000001
2000년01월06일,1228.97,1212.2,1201.29,1225.15,1216.67,1198.04,1220.88,1219.34,1229.91,1206.75,1232.39,1217.68,1221.15,1218.63,1215.76,1240.13,NaN,1219.0587500000001
2000년01월07일,1228.97,1212.2,1201.29,1225.15,1216.67,1198.04,1220.88,1219.34,1229.91,1206.75,1232.39,1217.68,1221.15,1218.63,1215.76,1240.13,NaN,1219.0587500000001
2000년01월08일,1228.97,1212.2,1201.29,1225.15,1216.67,1198.04,1220.88,1219.34,1229.91,1206.75,1232.39,1217.68,1221.15,1218.63,1215.76,1240.13,NaN,1219.0587500000001
2000년01월09일,1228.97,1212.2,1201.29,1225.15,1216.67,1198.04,1220.88,1219.34,1229.91,1206.75,1232.39,1217.68,1221.15,1218.63,1215.76,1240.13,NaN,1219.0587500000001
2000년01월10일,1228.97,1212.2,1201.29,1225.15,1216.67,1198.04,1220.88,1219.34,1229.91,1206.75,1232.39,1217.68,1221.15,1218.63,1215.76,1240.13,NaN,1219.0587500000001
2000년01월11일,1228.97,1212.2,1201.29,1225.15,1216.67,1198.04,1220.88,1219.34,1229.91,1206.75,1232.39,1217.68,1221.15,1218.63,1215.76,1240.13,NaN,1219.0587500000001
